loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
46576.0,561,genus,0.0993912,Escherichia,ERR1073318
46576.0,872,genus,0.0894521,Desulfovibrio,ERR1073318
46576.0,1301,genus,0.0819978,Streptococcus,ERR1073318
46576.0,1678,genus,0.0447261,Bifidobacterium,ERR1073318
46576.0,216851,genus,0.0372717,Faecalibacterium,ERR1073318
46576.0,286,genus,0.0248478,Pseudomonas,ERR1073318
46576.0,838,genus,0.0248478,Prevotella,ERR1073318
46576.0,1350,genus,0.0173935,Enterococcus,ERR1073318
46576.0,102106,genus,0.0149087,Collinsella,ERR1073318
46576.0,590,genus,0.0149087,Salmonella,ERR1073318
46576.0,572511,genus,0.0124239,Blautia,ERR1073318
46576.0,620,genus,0.0124239,Shigella,ERR1073318
46576.0,239759,genus,0.00993912,Alistipes,ERR1073318
46576.0,1505657,genus,0.00993912,Intestinibacter,ERR1073318
46576.0,1578,genus,0.00993912,Lactobacillus,ERR1073318
46576.0,642,genus,0.00993912,Aeromonas,ERR1073318
46576.0,165779,genus,0.00745434,Anaerococcus,ERR1073318
46576.0,1485,genus,0.00745434,Clostridium,ERR1073318
46576.0,2735,genus,0.00745434,Verrucomicrobium,ERR1073318
46576.0,2299,genus,0.00745434,Desulfosarcina,ERR1073318
46576.0,135575,genus,0.00496956,Idiomarina,ERR1073318
46576.0,39948,genus,0.00496956,Dialister,ERR1073318
46576.0,84567,genus,0.00496956,Pedobacter,ERR1073318
46576.0,207244,genus,0.00496956,Anaerostipes,ERR1073318
46576.0,34037,genus,0.00496956,Rahnella,ERR1073318
46576.0,469,genus,0.00496956,Acinetobacter,ERR1073318
46576.0,1508657,genus,0.00496956,Ruminiclostridium,ERR1073318
46576.0,1730,genus,0.00496956,Eubacterium,ERR1073318
46576.0,397864,genus,0.00248478,Barnesiella,ERR1073318
46576.0,48463,genus,0.00248478,Prosthecobacter,ERR1073318
46576.0,626,genus,0.00248478,Xenorhabdus,ERR1073318
46576.0,51228,genus,0.00248478,Wigglesworthia,ERR1073318
46576.0,180541,genus,0.00248478,Salinisphaera,ERR1073318
46576.0,37817,genus,0.00248478,Desulfuromusa,ERR1073318
46576.0,32207,genus,0.00248478,Rothia,ERR1073318
46576.0,2742,genus,0.00248478,Marinobacter,ERR1073318
46576.0,226,genus,0.00248478,Alteromonas,ERR1073318
46576.0,53335,genus,0.00248478,Pantoea,ERR1073318
46576.0,40323,genus,0.00248478,Stenotrophomonas,ERR1073318
46576.0,40222,genus,0.00248478,Methylophaga,ERR1073318
46576.0,172900,genus,0.00248478,Victivallis,ERR1073318
46576.0,1386,genus,0.00248478,Bacillus,ERR1073318
46576.0,13275,genus,0.00248478,Suttonella,ERR1073318
46576.0,18,genus,0.00248478,Pelobacter,ERR1073318
46576.0,28453,genus,0.00248478,Sphingobacterium,ERR1073318
46576.0,233189,genus,0.00248478,Anaerolinea,ERR1073318
46576.0,724,genus,0.00248478,Haemophilus,ERR1073318
46576.0,40544,genus,0.00248478,Sutterella,ERR1073318
46576.0,898,genus,0.00248478,Desulfomicrobium,ERR1073318
46576.0,570,genus,0.00248478,Klebsiella,ERR1073318
46576.0,167639,genus,0.00248478,Ilyobacter,ERR1073318
,-1,genus,70.2199,Unknown,ERR1073318
46576.0,239934,genus,18.2631,Akkermansia,ERR1073318
46576.0,816,genus,4.01044,Bacteroides,ERR1073318
46576.0,1506553,genus,3.66505,Lachnoclostridium,ERR1073318
46576.0,375288,genus,2.29345,Parabacteroides,ERR1073318
46576.0,35832,genus,0.213691,Bilophila,ERR1073318
46576.0,848,genus,0.196298,Fusobacterium,ERR1073318
46576.0,904,genus,0.159026,Acidaminococcus,ERR1073318
46576.0,1505663,genus,0.139148,Erysipelatoclostridium,ERR1073318
46576.0,29465,genus,0.126724,Veillonella,ERR1073318
46576.0,561,genus,0.0993912,Escherichia,ERR1073318
46576.0,872,genus,0.0894521,Desulfovibrio,ERR1073318
46576.0,1301,genus,0.0819978,Streptococcus,ERR1073318
46576.0,1678,genus,0.0447261,Bifidobacterium,ERR1073318
46576.0,216851,genus,0.0372717,Faecalibacterium,ERR1073318
46576.0,286,genus,0.0248478,Pseudomonas,ERR1073318
46576.0,838,genus,0.0248478,Prevotella,ERR1073318
46576.0,1350,genus,0.0173935,Enterococcus,ERR1073318
46576.0,102106,genus,0.0149087,Collinsella,ERR1073318
46576.0,590,genus,0.0149087,Salmonella,ERR1073318
46576.0,620,genus,0.0124239,Shigella,ERR1073318
46576.0,572511,genus,0.0124239,Blautia,ERR1073318
46576.0,642,genus,0.00993912,Aeromonas,ERR1073318
46576.0,239759,genus,0.00993912,Alistipes,ERR1073318
46576.0,1505657,genus,0.00993912,Intestinibacter,ERR1073318
46576.0,1578,genus,0.00993912,Lactobacillus,ERR1073318
46576.0,2299,genus,0.00745434,Desulfosarcina,ERR1073318
46576.0,165779,genus,0.00745434,Anaerococcus,ERR1073318
46576.0,1485,genus,0.00745434,Clostridium,ERR1073318
46576.0,2735,genus,0.00745434,Verrucomicrobium,ERR1073318
46576.0,1508657,genus,0.00496956,Ruminiclostridium,ERR1073318
46576.0,1730,genus,0.00496956,Eubacterium,ERR1073318
46576.0,135575,genus,0.00496956,Idiomarina,ERR1073318
46576.0,39948,genus,0.00496956,Dialister,ERR1073318
46576.0,84567,genus,0.00496956,Pedobacter,ERR1073318
46576.0,207244,genus,0.00496956,Anaerostipes,ERR1073318
46576.0,34037,genus,0.00496956,Rahnella,ERR1073318
46576.0,469,genus,0.00496956,Acinetobacter,ERR1073318
46576.0,40544,genus,0.00248478,Sutterella,ERR1073318
46576.0,898,genus,0.00248478,Desulfomicrobium,ERR1073318
46576.0,570,genus,0.00248478,Klebsiella,ERR1073318
46576.0,167639,genus,0.00248478,Ilyobacter,ERR1073318
46576.0,397864,genus,0.00248478,Barnesiella,ERR1073318
46576.0,48463,genus,0.00248478,Prosthecobacter,ERR1073318
46576.0,626,genus,0.00248478,Xenorhabdus,ERR1073318
46576.0,51228,genus,0.00248478,Wigglesworthia,ERR1073318
46576.0,180541,genus,0.00248478,Salinisphaera,ERR1073318
46576.0,37817,genus,0.00248478,Desulfuromusa,ERR1073318
46576.0,32207,genus,0.00248478,Rothia,ERR1073318
46576.0,2742,genus,0.00248478,Marinobacter,ERR1073318
46576.0,226,genus,0.00248478,Alteromonas,ERR1073318
46576.0,53335,genus,0.00248478,Pantoea,ERR1073318
46576.0,40323,genus,0.00248478,Stenotrophomonas,ERR1073318
46576.0,40222,genus,0.00248478,Methylophaga,ERR1073318
46576.0,172900,genus,0.00248478,Victivallis,ERR1073318
46576.0,1386,genus,0.00248478,Bacillus,ERR1073318
46576.0,13275,genus,0.00248478,Suttonella,ERR1073318
46576.0,18,genus,0.00248478,Pelobacter,ERR1073318
46576.0,28453,genus,0.00248478,Sphingobacterium,ERR1073318
46576.0,233189,genus,0.00248478,Anaerolinea,ERR1073318
46576.0,724,genus,0.00248478,Haemophilus,ERR1073318
,-1,genus,70.2199,Unknown,ERR1073318
46576.0,239934,genus,18.2631,Akkermansia,ERR1073318
46576.0,816,genus,4.01044,Bacteroides,ERR1073318
46576.0,1506553,genus,3.66505,Lachnoclostridium,ERR1073318
46576.0,375288,genus,2.29345,Parabacteroides,ERR1073318
46576.0,35832,genus,0.213691,Bilophila,ERR1073318
46576.0,848,genus,0.196298,Fusobacterium,ERR1073318
46576.0,904,genus,0.159026,Acidaminococcus,ERR1073318
46576.0,1505663,genus,0.139148,Erysipelatoclostridium,ERR1073318
46576.0,29465,genus,0.126724,Veillonella,ERR1073318
46576.0,561,genus,0.0993912,Escherichia,ERR1073318
46576.0,872,genus,0.0894521,Desulfovibrio,ERR1073318
46576.0,1301,genus,0.0819978,Streptococcus,ERR1073318
46576.0,1678,genus,0.0447261,Bifidobacterium,ERR1073318
46576.0,216851,genus,0.0372717,Faecalibacterium,ERR1073318
46576.0,838,genus,0.0248478,Prevotella,ERR1073318
46576.0,286,genus,0.0248478,Pseudomonas,ERR1073318
46576.0,1350,genus,0.0173935,Enterococcus,ERR1073318
46576.0,102106,genus,0.0149087,Collinsella,ERR1073318
46576.0,590,genus,0.0149087,Salmonella,ERR1073318
46576.0,572511,genus,0.0124239,Blautia,ERR1073318
46576.0,620,genus,0.0124239,Shigella,ERR1073318
46576.0,1578,genus,0.00993912,Lactobacillus,ERR1073318
46576.0,642,genus,0.00993912,Aeromonas,ERR1073318
46576.0,239759,genus,0.00993912,Alistipes,ERR1073318
46576.0,1505657,genus,0.00993912,Intestinibacter,ERR1073318
46576.0,2299,genus,0.00745434,Desulfosarcina,ERR1073318
46576.0,165779,genus,0.00745434,Anaerococcus,ERR1073318
46576.0,1485,genus,0.00745434,Clostridium,ERR1073318
46576.0,2735,genus,0.00745434,Verrucomicrobium,ERR1073318
46576.0,34037,genus,0.00496956,Rahnella,ERR1073318
46576.0,469,genus,0.00496956,Acinetobacter,ERR1073318
46576.0,1508657,genus,0.00496956,Ruminiclostridium,ERR1073318
46576.0,1730,genus,0.00496956,Eubacterium,ERR1073318
46576.0,135575,genus,0.00496956,Idiomarina,ERR1073318
46576.0,39948,genus,0.00496956,Dialister,ERR1073318
46576.0,84567,genus,0.00496956,Pedobacter,ERR1073318
46576.0,207244,genus,0.00496956,Anaerostipes,ERR1073318
46576.0,28453,genus,0.00248478,Sphingobacterium,ERR1073318
46576.0,233189,genus,0.00248478,Anaerolinea,ERR1073318
46576.0,724,genus,0.00248478,Haemophilus,ERR1073318
46576.0,40544,genus,0.00248478,Sutterella,ERR1073318
46576.0,898,genus,0.00248478,Desulfomicrobium,ERR1073318
46576.0,570,genus,0.00248478,Klebsiella,ERR1073318
46576.0,167639,genus,0.00248478,Ilyobacter,ERR1073318
46576.0,397864,genus,0.00248478,Barnesiella,ERR1073318
46576.0,48463,genus,0.00248478,Prosthecobacter,ERR1073318
46576.0,626,genus,0.00248478,Xenorhabdus,ERR1073318
46576.0,51228,genus,0.00248478,Wigglesworthia,ERR1073318
46576.0,180541,genus,0.00248478,Salinisphaera,ERR1073318
46576.0,37817,genus,0.00248478,Desulfuromusa,ERR1073318
46576.0,32207,genus,0.00248478,Rothia,ERR1073318
46576.0,2742,genus,0.00248478,Marinobacter,ERR1073318
46576.0,226,genus,0.00248478,Alteromonas,ERR1073318
46576.0,53335,genus,0.00248478,Pantoea,ERR1073318
46576.0,40323,genus,0.00248478,Stenotrophomonas,ERR1073318
46576.0,40222,genus,0.00248478,Methylophaga,ERR1073318
46576.0,172900,genus,0.00248478,Victivallis,ERR1073318
46576.0,1386,genus,0.00248478,Bacillus,ERR1073318
46576.0,13275,genus,0.00248478,Suttonella,ERR1073318
46576.0,18,genus,0.00248478,Pelobacter,ERR1073318
,-1,genus,70.2199,Unknown,ERR1073318
46576.0,239934,genus,18.2631,Akkermansia,ERR1073318
46576.0,816,genus,4.01044,Bacteroides,ERR1073318
46576.0,1506553,genus,3.66505,Lachnoclostridium,ERR1073318
46576.0,375288,genus,2.29345,Parabacteroides,ERR1073318
46576.0,35832,genus,0.213691,Bilophila,ERR1073318
46576.0,848,genus,0.196298,Fusobacterium,ERR1073318
46576.0,904,genus,0.159026,Acidaminococcus,ERR1073318
46576.0,1505663,genus,0.139148,Erysipelatoclostridium,ERR1073318
46576.0,29465,genus,0.126724,Veillonella,ERR1073318
46576.0,561,genus,0.0993912,Escherichia,ERR1073318
46576.0,872,genus,0.0894521,Desulfovibrio,ERR1073318
46576.0,1301,genus,0.0819978,Streptococcus,ERR1073318
46576.0,1678,genus,0.0447261,Bifidobacterium,ERR1073318
46576.0,216851,genus,0.0372717,Faecalibacterium,ERR1073318
46576.0,286,genus,0.0248478,Pseudomonas,ERR1073318
46576.0,838,genus,0.0248478,Prevotella,ERR1073318
46576.0,1350,genus,0.0173935,Enterococcus,ERR1073318
46576.0,590,genus,0.0149087,Salmonella,ERR1073318
46576.0,102106,genus,0.0149087,Collinsella,ERR1073318
46576.0,572511,genus,0.0124239,Blautia,ERR1073318
46576.0,620,genus,0.0124239,Shigella,ERR1073318
46576.0,239759,genus,0.00993912,Alistipes,ERR1073318
46576.0,1505657,genus,0.00993912,Intestinibacter,ERR1073318
46576.0,1578,genus,0.00993912,Lactobacillus,ERR1073318
46576.0,642,genus,0.00993912,Aeromonas,ERR1073318
46576.0,1485,genus,0.00745434,Clostridium,ERR1073318
46576.0,2735,genus,0.00745434,Verrucomicrobium,ERR1073318
46576.0,2299,genus,0.00745434,Desulfosarcina,ERR1073318
46576.0,165779,genus,0.00745434,Anaerococcus,ERR1073318
46576.0,39948,genus,0.00496956,Dialister,ERR1073318
46576.0,84567,genus,0.00496956,Pedobacter,ERR1073318
46576.0,207244,genus,0.00496956,Anaerostipes,ERR1073318
46576.0,34037,genus,0.00496956,Rahnella,ERR1073318
46576.0,469,genus,0.00496956,Acinetobacter,ERR1073318
46576.0,1508657,genus,0.00496956,Ruminiclostridium,ERR1073318
46576.0,1730,genus,0.00496956,Eubacterium,ERR1073318
46576.0,135575,genus,0.00496956,Idiomarina,ERR1073318
46576.0,226,genus,0.00248478,Alteromonas,ERR1073318
46576.0,53335,genus,0.00248478,Pantoea,ERR1073318
46576.0,40323,genus,0.00248478,Stenotrophomonas,ERR1073318
46576.0,40222,genus,0.00248478,Methylophaga,ERR1073318
46576.0,172900,genus,0.00248478,Victivallis,ERR1073318
46576.0,1386,genus,0.00248478,Bacillus,ERR1073318
46576.0,13275,genus,0.00248478,Suttonella,ERR1073318
46576.0,18,genus,0.00248478,Pelobacter,ERR1073318
46576.0,28453,genus,0.00248478,Sphingobacterium,ERR1073318
46576.0,233189,genus,0.00248478,Anaerolinea,ERR1073318
46576.0,724,genus,0.00248478,Haemophilus,ERR1073318
46576.0,40544,genus,0.00248478,Sutterella,ERR1073318
46576.0,898,genus,0.00248478,Desulfomicrobium,ERR1073318
46576.0,570,genus,0.00248478,Klebsiella,ERR1073318
46576.0,167639,genus,0.00248478,Ilyobacter,ERR1073318
46576.0,397864,genus,0.00248478,Barnesiella,ERR1073318
46576.0,48463,genus,0.00248478,Prosthecobacter,ERR1073318
46576.0,626,genus,0.00248478,Xenorhabdus,ERR1073318
46576.0,51228,genus,0.00248478,Wigglesworthia,ERR1073318
46576.0,180541,genus,0.00248478,Salinisphaera,ERR1073318
46576.0,37817,genus,0.00248478,Desulfuromusa,ERR1073318
46576.0,32207,genus,0.00248478,Rothia,ERR1073318
46576.0,2742,genus,0.00248478,Marinobacter,ERR1073318
,-1,genus,70.2199,Unknown,ERR1073318
46576.0,239934,genus,18.2631,Akkermansia,ERR1073318
46576.0,816,genus,4.01044,Bacteroides,ERR1073318
46576.0,1506553,genus,3.66505,Lachnoclostridium,ERR1073318
46576.0,375288,genus,2.29345,Parabacteroides,ERR1073318
46576.0,35832,genus,0.213691,Bilophila,ERR1073318
46576.0,848,genus,0.196298,Fusobacterium,ERR1073318
46576.0,904,genus,0.159026,Acidaminococcus,ERR1073318
46576.0,1505663,genus,0.139148,Erysipelatoclostridium,ERR1073318
46576.0,29465,genus,0.126724,Veillonella,ERR1073318
46576.0,561,genus,0.0993912,Escherichia,ERR1073318
46576.0,872,genus,0.0894521,Desulfovibrio,ERR1073318
46576.0,1301,genus,0.0819978,Streptococcus,ERR1073318
46576.0,1678,genus,0.0447261,Bifidobacterium,ERR1073318
46576.0,216851,genus,0.0372717,Faecalibacterium,ERR1073318
46576.0,286,genus,0.0248478,Pseudomonas,ERR1073318
46576.0,838,genus,0.0248478,Prevotella,ERR1073318
46576.0,1350,genus,0.0173935,Enterococcus,ERR1073318
46576.0,102106,genus,0.0149087,Collinsella,ERR1073318
46576.0,590,genus,0.0149087,Salmonella,ERR1073318
46576.0,620,genus,0.0124239,Shigella,ERR1073318
46576.0,572511,genus,0.0124239,Blautia,ERR1073318
46576.0,642,genus,0.00993912,Aeromonas,ERR1073318
46576.0,239759,genus,0.00993912,Alistipes,ERR1073318
46576.0,1505657,genus,0.00993912,Intestinibacter,ERR1073318
46576.0,1578,genus,0.00993912,Lactobacillus,ERR1073318
46576.0,2299,genus,0.00745434,Desulfosarcina,ERR1073318
46576.0,165779,genus,0.00745434,Anaerococcus,ERR1073318
46576.0,1485,genus,0.00745434,Clostridium,ERR1073318
46576.0,2735,genus,0.00745434,Verrucomicrobium,ERR1073318
46576.0,469,genus,0.00496956,Acinetobacter,ERR1073318
46576.0,1508657,genus,0.00496956,Ruminiclostridium,ERR1073318
46576.0,1730,genus,0.00496956,Eubacterium,ERR1073318
46576.0,135575,genus,0.00496956,Idiomarina,ERR1073318
46576.0,39948,genus,0.00496956,Dialister,ERR1073318
46576.0,84567,genus,0.00496956,Pedobacter,ERR1073318
46576.0,207244,genus,0.00496956,Anaerostipes,ERR1073318
46576.0,34037,genus,0.00496956,Rahnella,ERR1073318
46576.0,724,genus,0.00248478,Haemophilus,ERR1073318
46576.0,40544,genus,0.00248478,Sutterella,ERR1073318
46576.0,898,genus,0.00248478,Desulfomicrobium,ERR1073318
46576.0,570,genus,0.00248478,Klebsiella,ERR1073318
46576.0,167639,genus,0.00248478,Ilyobacter,ERR1073318
46576.0,397864,genus,0.00248478,Barnesiella,ERR1073318
46576.0,48463,genus,0.00248478,Prosthecobacter,ERR1073318
46576.0,626,genus,0.00248478,Xenorhabdus,ERR1073318
46576.0,51228,genus,0.00248478,Wigglesworthia,ERR1073318
46576.0,180541,genus,0.00248478,Salinisphaera,ERR1073318
46576.0,37817,genus,0.00248478,Desulfuromusa,ERR1073318
46576.0,32207,genus,0.00248478,Rothia,ERR1073318
46576.0,2742,genus,0.00248478,Marinobacter,ERR1073318
46576.0,226,genus,0.00248478,Alteromonas,ERR1073318
46576.0,53335,genus,0.00248478,Pantoea,ERR1073318
46576.0,40323,genus,0.00248478,Stenotrophomonas,ERR1073318
46576.0,40222,genus,0.00248478,Methylophaga,ERR1073318
46576.0,172900,genus,0.00248478,Victivallis,ERR1073318
46576.0,1386,genus,0.00248478,Bacillus,ERR1073318
46576.0,13275,genus,0.00248478,Suttonella,ERR1073318
46576.0,18,genus,0.00248478,Pelobacter,ERR1073318
46576.0,28453,genus,0.00248478,Sphingobacterium,ERR1073318
46576.0,233189,genus,0.00248478,Anaerolinea,ERR1073318
,-1,genus,70.2199,Unknown,ERR1073318
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
38171.0,841,genus,0.158387,Roseburia,ERR1073812
38171.0,33042,genus,0.131989,Coprococcus,ERR1073812
38171.0,561,genus,0.100311,Escherichia,ERR1073812
38171.0,872,genus,0.0950319,Desulfovibrio,ERR1073812
38171.0,1678,genus,0.0791933,Bifidobacterium,ERR1073812
38171.0,244127,genus,0.0686342,Anaerotruncus,ERR1073812
38171.0,1506577,genus,0.0580751,Tyzzerella,ERR1073812
38171.0,286,genus,0.047516,Pseudomonas,ERR1073812
38171.0,1301,genus,0.047516,Streptococcus,ERR1073812
38171.0,1505663,genus,0.0422364,Erysipelatoclostridium,ERR1073812
38171.0,44748,genus,0.0369569,Sporobacter,ERR1073812
38171.0,590,genus,0.0316773,Salmonella,ERR1073812
38171.0,990721,genus,0.0263978,Christensenella,ERR1073812
38171.0,1485,genus,0.0263978,Clostridium,ERR1073812
38171.0,52784,genus,0.0263978,Anaerofilum,ERR1073812
38171.0,1386,genus,0.0211182,Bacillus,ERR1073812
38171.0,1263,genus,0.0211182,Ruminococcus,ERR1073812
38171.0,482,genus,0.0158387,Neisseria,ERR1073812
38171.0,61170,genus,0.0158387,Holdemania,ERR1073812
38171.0,29465,genus,0.0158387,Veillonella,ERR1073812
38171.0,642,genus,0.0105591,Aeromonas,ERR1073812
38171.0,581,genus,0.0105591,Morganella,ERR1073812
38171.0,84108,genus,0.0105591,Slackia,ERR1073812
38171.0,848,genus,0.0105591,Fusobacterium,ERR1073812
38171.0,702,genus,0.0105591,Plesiomonas,ERR1073812
38171.0,53335,genus,0.0105591,Pantoea,ERR1073812
38171.0,830,genus,0.0105591,Butyrivibrio,ERR1073812
38171.0,84567,genus,0.0105591,Pedobacter,ERR1073812
38171.0,100883,genus,0.0105591,Coprobacillus,ERR1073812
38171.0,469,genus,0.0105591,Acinetobacter,ERR1073812
38171.0,998014,genus,0.0105591,Cocleimonas,ERR1073812
38171.0,1548510,genus,0.00527955,Microbacter,ERR1073812
38171.0,32207,genus,0.00527955,Rothia,ERR1073812
38171.0,182709,genus,0.00527955,Oceanobacillus,ERR1073812
38171.0,1350,genus,0.00527955,Enterococcus,ERR1073812
38171.0,413496,genus,0.00527955,Cronobacter,ERR1073812
38171.0,898,genus,0.00527955,Desulfomicrobium,ERR1073812
38171.0,866673,genus,0.00527955,Marinifilum,ERR1073812
38171.0,34037,genus,0.00527955,Rahnella,ERR1073812
38171.0,106633,genus,0.00527955,Thioalkalivibrio,ERR1073812
38171.0,40222,genus,0.00527955,Methylophaga,ERR1073812
38171.0,445,genus,0.00527955,Legionella,ERR1073812
38171.0,40323,genus,0.00527955,Stenotrophomonas,ERR1073812
38171.0,620,genus,0.00527955,Shigella,ERR1073812
38171.0,2093,genus,0.00527955,Mycoplasma,ERR1073812
38171.0,28231,genus,0.00527955,Geobacter,ERR1073812
38171.0,724,genus,0.00527955,Haemophilus,ERR1073812
38171.0,1645,genus,0.00527955,Renibacterium,ERR1073812
38171.0,239934,genus,0.00527955,Akkermansia,ERR1073812
38171.0,79328,genus,0.00527955,Chitinophaga,ERR1073812
38171.0,129337,genus,0.00527955,Geobacillus,ERR1073812
,-1,genus,59.0993,Unknown,ERR1073812
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
